Cord hardness id: 0-1 rubbing,,,,
current_force, target_force, pressed_depth(mm), finger_height(mm), finger_init_height(mm)
27.22193,30,14.536719,25.820704,11.283984
27.414848,30,14.931251,26.215235,11.283984
27.56752,30,15.332812,26.616796,11.283984
27.804749,30,15.659375,26.943359,11.283984
28.061514,30,15.96836,27.252344,11.283984
28.725906,30,16.040235,27.324219,11.283984
29.448137,30,16.040626,27.32461,11.283984
30.602697,30,16.018359,27.302343,11.283984
32.123535,30,15.567578,26.851562,11.283984
32.123535,30,15.567578,26.851562,11.283984
32.08588,30,15.116406,26.400391,11.283984
31.949389,30,14.882422,26.166407,11.283984
31.609741,30,14.780078,26.064062,11.283984
31.65955,30,14.770703,26.054688,11.283984
31.675489,30,14.533593,25.817577,11.283984
31.119091,30,14.487891,25.771875,11.283984
30.931921,30,14.487891,25.771875,11.283984
30.483101,30,14.487891,25.771875,11.283984
29.754356,30,14.487891,25.771875,11.283984
28.728411,30,14.665626,25.94961,11.283984
28.143833,30,15.128907,26.412891,11.283984
28.106554,30,15.495313,26.779297,11.283984
28.138535,30,15.817187,27.101171,11.283984
28.624544,30,16.025392,27.309376,11.283984
29.22497,30,16.016797,27.300781,11.283984
29.22497,30,16.016797,27.300781,11.283984
30.286163,30,16.015626,27.29961,11.283984
31.699148,30,15.81836,27.102345,11.283984
32.436413,30,15.195703,26.479687,11.283984
32.247051,30,14.89375,26.177734,11.283984
31.689695,30,14.733985,26.017969,11.283984
31.68051,30,14.72539,26.009375,11.283984
31.748539,30,14.49336,25.777344,11.283984
31.296602,30,14.442969,25.726954,11.283984
31.31452,30,14.442969,25.726954,11.283984
31.018169,30,14.442969,25.726954,11.283984
30.297237,30,14.442969,25.726954,11.283984
29.439135,30,14.510547,25.794531,11.283984
28.447155,30,14.945313,26.229298,11.283984
28.196632,30,15.325782,26.609766,11.283984
28.234932,30,15.651563,26.935547,11.283984
28.450087,30,15.908204,27.192188,11.283984
28.450087,30,15.908204,27.192188,11.283984
28.948357,30,16.010156,27.29414,11.283984
29.615601,30,16.010156,27.29414,11.283984
31.108393,30,15.947656,27.23164,11.283984
32.597553,30,15.379687,26.663671,11.283984
32.382942,30,14.90586,26.189844,11.283984
31.847773,30,14.739453,26.023438,11.283984
31.709711,30,14.725781,26.009766,11.283984
31.838327,30,14.528907,25.812891,11.283984
31.301619,30,14.446485,25.730469,11.283984
31.587481,30,14.44336,25.727345,11.283984
31.494577,30,14.214845,25.498829,11.283984
30.82045,30,14.192578,25.476562,11.283984
29.802187,30,14.192578,25.476562,11.283984
28.245863,30,14.43086,25.714844,11.283984
27.755816,30,14.965234,26.249218,11.283984
27.576994,30,15.424609,26.708593,11.283984
27.576994,30,15.424609,26.708593,11.283984
27.792868,30,15.817187,27.101171,11.283984
28.33407,30,16.047265,27.331249,11.283984
28.974234,30,16.109765,27.393749,11.283984
30.28544,30,16.102735,27.386719,11.283984
32.323193,30,15.652734,26.936718,11.283984
32.636482,30,14.966407,26.250391,11.283984
32.078072,30,14.742969,26.026953,11.283984
31.619127,30,14.69414,25.978125,11.283984
31.68713,30,14.633594,25.917578,11.283984
31.607668,30,14.462892,25.746876,11.283984
31.579224,30,14.462892,25.746876,11.283984
31.710245,30,14.334374,25.618359,11.283984
31.240145,30,14.207032,25.491016,11.283984
30.437038,30,14.207032,25.491016,11.283984
28.876245,30,14.334765,25.61875,11.283984
28.312056,30,14.766406,26.05039,11.283984
28.312056,30,14.766406,26.05039,11.283984
27.828182,30,15.230079,26.514063,11.283984
27.808586,30,15.625001,26.908985,11.283984
28.181604,30,15.925782,27.209766,11.283984
28.622263,30,16.093751,27.377735,11.283984
29.809446,30,16.084765,27.36875,11.283984
31.438389,30,15.987891,27.271875,11.283984
33.044376,30,15.248828,26.532812,11.283984
32.490288,30,14.789453,26.073437,11.283984
31.823315,30,14.743751,26.027735,11.283984
31.830528,30,14.699609,25.983593,11.283984
31.65732,30,14.572656,25.85664,11.283984
31.604269,30,14.449609,25.733593,11.283984
31.398996,30,14.299218,25.583202,11.283984
30.890062,30,14.282031,25.566015,11.283984
30.483469,30,14.282031,25.566015,11.283984
