Cord hardness id: 0-1 rubbing,,,,
current_force, target_force, pressed_depth(mm), finger_height(mm), finger_init_height(mm)
27.508656,30,25.786718,25.786718,0
27.745188,30,26.077343,26.077343,0
27.777794,30,26.442968,26.442968,0
27.932892,30,26.797266,26.797266,0
28.518312,30,26.984375,26.984375,0
28.800455,30,26.957813,26.957813,0
29.25123,30,26.957813,26.957813,0
29.876999,30,26.957422,26.957422,0
30.66993,30,26.91836,26.91836,0
31.587542,30,26.636719,26.636719,0
31.450336,30,26.348827,26.348827,0
31.389805,30,26.349609,26.349609,0
31.389805,30,26.349609,26.349609,0
31.731522,30,26.29336,26.29336,0
31.623219,30,26.033594,26.033594,0
31.256943,30,25.994141,25.994141,0
30.825665,30,25.994141,25.994141,0
30.507759,30,25.994141,25.994141,0
30.174681,30,25.994141,25.994141,0
29.548283,30,25.994141,25.994141,0
28.48777,30,26.209375,26.209375,0
28.092594,30,26.696484,26.696484,0
28.593225,30,26.916016,26.916016,0
28.924517,30,26.928125,26.928125,0
29.194357,30,26.928125,26.928125,0
29.567865,30,26.928125,26.928125,0
30.096823,30,26.928125,26.928125,0
31.066422,30,26.926563,26.926563,0
31.066422,30,26.926563,26.926563,0
31.932192,30,26.599609,26.599609,0
31.821367,30,26.272655,26.272655,0
31.54125,30,26.251953,26.251953,0
31.479933,30,26.251953,26.251953,0
31.66894,30,26.247265,26.247265,0
31.477467,30,26.103907,26.103907,0
31.211327,30,26.096874,26.096874,0
30.80409,30,26.096874,26.096874,0
29.997288,30,26.096874,26.096874,0
29.148136,30,26.116796,26.116796,0
28.348133,30,26.514063,26.514063,0
28.508266,30,26.802734,26.802734,0
28.821938,30,26.828125,26.828125,0
28.908422,30,26.828125,26.828125,0
29.126644,30,26.828907,26.828907,0
29.518753,30,26.828907,26.828907,0
29.518753,30,26.828907,26.828907,0
30.391075,30,26.828907,26.828907,0
31.275154,30,26.785938,26.785938,0
31.906656,30,26.400782,26.400782,0
31.502121,30,26.197657,26.197657,0
31.091879,30,26.200001,26.200001,0
31.207621,30,26.200001,26.200001,0
31.430641,30,26.19961,26.19961,0
31.45735,30,26.045704,26.045704,0
30.821373,30,26.00625,26.00625,0
30.096767,30,26.00625,26.00625,0
29.111361,30,26.032032,26.032032,0
28.40521,30,26.384766,26.384766,0
28.379829,30,26.746485,26.746485,0
28.761635,30,26.932032,26.932032,0
29.016163,30,26.924219,26.924219,0
29.234327,30,26.924219,26.924219,0
29.234327,30,26.924219,26.924219,0
29.587793,30,26.924219,26.924219,0
30.271744,30,26.921484,26.921484,0
31.293816,30,26.728907,26.728907,0
31.802258,30,26.345703,26.345703,0
31.437405,30,26.26211,26.26211,0
31.250322,30,26.26211,26.26211,0
31.285202,30,26.26211,26.26211,0
31.506983,30,26.208202,26.208202,0
31.370127,30,26.042578,26.042578,0
30.97102,30,26.042578,26.042578,0
30.328329,30,26.042578,26.042578,0
29.51256,30,26.042578,26.042578,0
28.811037,30,26.248829,26.248829,0
28.491911,30,26.594921,26.594921,0
28.719643,30,26.846485,26.846485,0
28.793613,30,26.832031,26.832031,0
28.793613,30,26.832031,26.832031,0
28.929522,30,26.832031,26.832031,0
29.104532,30,26.832031,26.832031,0
29.715109,30,26.832031,26.832031,0
30.612276,30,26.827734,26.827734,0
31.476236,30,26.589062,26.589062,0
31.594164,30,26.260157,26.260157,0
31.248863,30,26.233593,26.233593,0
31.112379,30,26.233593,26.233593,0
31.284439,30,26.233593,26.233593,0
31.493006,30,26.189062,26.189062,0
31.25172,30,26.053905,26.053905,0
30.732079,30,26.053905,26.053905,0
30.022739,30,26.072266,26.072266,0
29.250496,30,26.257812,26.257812,0
28.888794,30,26.524609,26.524609,0
28.828815,30,26.773438,26.773438,0
28.828815,30,26.773438,26.773438,0
28.984262,30,26.945704,26.945704,0
29.148893,30,26.93125,26.93125,0
29.359055,30,26.93125,26.93125,0
29.856424,30,26.93125,26.93125,0
30.67012,30,26.93125,26.93125,0
31.536398,30,26.833984,26.833984,0
32.174057,30,26.41914,26.41914,0
31.626888,30,26.206249,26.206249,0
31.234407,30,26.205078,26.205078,0
31.210117,30,26.205078,26.205078,0
31.313408,30,26.205078,26.205078,0
31.446795,30,26.201172,26.201172,0
31.320585,30,26.200781,26.200781,0
30.819613,30,26.200781,26.200781,0
30.002285,30,26.210938,26.210938,0
29.305326,30,26.392187,26.392187,0
29.305326,30,26.392187,26.392187,0
28.889679,30,26.718359,26.718359,0
29.004644,30,26.827343,26.827343,0
28.941935,30,26.826954,26.826954,0
28.961088,30,26.830078,26.830078,0
29.345354,30,26.828516,26.828516,0
29.922218,30,26.828516,26.828516,0
30.876078,30,26.814844,26.814844,0
31.676983,30,26.646093,26.646093,0
31.804565,30,26.265234,26.265234,0
31.311356,30,26.189453,26.189453,0
31.072805,30,26.189453,26.189453,0
31.116945,30,26.189453,26.189453,0
31.328554,30,26.167969,26.167969,0
31.221714,30,26.139454,26.139454,0
30.798637,30,26.139454,26.139454,0
30.181576,30,26.139454,26.139454,0
30.181576,30,26.139454,26.139454,0
29.266478,30,26.153515,26.153515,0
28.519873,30,26.490234,26.490234,0
28.590496,30,26.821875,26.821875,0
28.847912,30,26.935156,26.935156,0
29.065493,30,26.930859,26.930859,0
29.344006,30,26.930859,26.930859,0
29.976545,30,26.930859,26.930859,0
30.850012,30,26.898829,26.898829,0
31.812832,30,26.548437,26.548437,0
31.629162,30,26.212109,26.212109,0
31.220837,30,26.202343,26.202343,0
30.90283,30,26.202343,26.202343,0
31.01963,30,26.202343,26.202343,0
31.15345,30,26.202343,26.202343,0
31.308586,30,26.202343,26.202343,0
31.180761,30,26.202343,26.202343,0
31.180761,30,26.202343,26.202343,0
30.685926,30,26.202343,26.202343,0
29.906588,30,26.202343,26.202343,0
28.97912,30,26.246876,26.246876,0
28.358627,30,26.651953,26.651953,0
28.641157,30,26.901953,26.901953,0
28.876926,30,26.891407,26.891407,0
29.054514,30,26.891407,26.891407,0
29.500637,30,26.891407,26.891407,0
30.350246,30,26.891407,26.891407,0
31.329031,30,26.849218,26.849218,0
32.131321,30,26.4375,26.4375,0
31.575148,30,26.19375,26.19375,0
31.022387,30,26.196484,26.196484,0
31.032778,30,26.196484,26.196484,0
31.088346,30,26.196484,26.196484,0
31.269024,30,26.196484,26.196484,0
31.269024,30,26.196484,26.196484,0
31.354548,30,26.196484,26.196484,0
30.997562,30,26.196484,26.196484,0
30.488031,30,26.196484,26.196484,0
29.585209,30,26.196484,26.196484,0
28.47451,30,26.412109,26.412109,0
28.48542,30,26.785938,26.785938,0
28.819262,30,26.94375,26.94375,0
29.143721,30,26.950001,26.950001,0
29.454081,30,26.950001,26.950001,0
30.039606,30,26.949219,26.949219,0
30.982309,30,26.848827,26.848827,0
31.950344,30,26.463673,26.463673,0
31.57225,30,26.198048,26.198048,0
31.080557,30,26.200781,26.200781,0
30.95421,30,26.200781,26.200781,0
30.95421,30,26.200781,26.200781,0
30.931147,30,26.200781,26.200781,0
31.139832,30,26.200781,26.200781,0
31.270193,30,26.200781,26.200781,0
31.075623,30,26.200781,26.200781,0
30.746277,30,26.200781,26.200781,0
29.795305,30,26.208202,26.208202,0
28.921923,30,26.430079,26.430079,0
28.710327,30,26.776173,26.776173,0
28.873169,30,26.936718,26.936718,0
29.210001,30,26.930859,26.930859,0
29.284658,30,26.930859,26.930859,0
29.719383,30,26.930859,26.930859,0
30.514559,30,26.928125,26.928125,0
31.540323,30,26.681641,26.681641,0
31.869354,30,26.271484,26.271484,0
31.28054,30,26.203907,26.203907,0
31.28054,30,26.203907,26.203907,0
30.875961,30,26.203907,26.203907,0
30.820972,30,26.203907,26.203907,0
31.007156,30,26.203907,26.203907,0
31.342159,30,26.203516,26.203516,0
31.246979,30,26.165625,26.165625,0
30.804878,30,26.165625,26.165625,0
29.960066,30,26.165625,26.165625,0
29.074057,30,26.189453,26.189453,0
28.334038,30,26.593359,26.593359,0
28.562675,30,26.891016,26.891016,0
29.027849,30,26.927343,26.927343,0
29.127926,30,26.927343,26.927343,0
29.535633,30,26.926952,26.926952,0
30.262241,30,26.926952,26.926952,0
31.120035,30,26.91836,26.91836,0
31.120035,30,26.91836,26.91836,0
32.106365,30,26.546093,26.546093,0
31.733208,30,26.231251,26.231251,0
31.206892,30,26.233984,26.233984,0
31.03614,30,26.233984,26.233984,0
31.121567,30,26.233984,26.233984,0
31.442804,30,26.185938,26.185938,0
31.177523,30,26.023438,26.023438,0
30.561417,30,26.028126,26.028126,0
29.800997,30,26.035547,26.035547,0
29.230349,30,26.294922,26.294922,0
28.904455,30,26.525391,26.525391,0
28.722652,30,26.790234,26.790234,0
28.919704,30,26.952343,26.952343,0
29.076971,30,26.948048,26.948048,0
29.388853,30,26.948048,26.948048,0
29.979252,30,26.948048,26.948048,0
29.979252,30,26.948048,26.948048,0
30.832388,30,26.948048,26.948048,0
31.85293,30,26.707422,26.707422,0
32.020115,30,26.278515,26.278515,0
31.380993,30,26.202343,26.202343,0
30.995161,30,26.202343,26.202343,0
30.871735,30,26.202343,26.202343,0
31.285982,30,26.157032,26.157032,0
31.003075,30,26.06875,26.06875,0
30.64978,30,26.06875,26.06875,0
30.15394,30,26.06875,26.06875,0
29.309557,30,26.073048,26.073048,0
28.79513,30,26.303125,26.303125,0
28.362291,30,26.684376,26.684376,0
28.618425,30,26.938671,26.938671,0
28.936789,30,26.945704,26.945704,0
29.182293,30,26.945704,26.945704,0
29.182293,30,26.945704,26.945704,0
29.856018,30,26.945704,26.945704,0
30.525331,30,26.945312,26.945312,0
31.510979,30,26.858204,26.858204,0
32.235008,30,26.421484,26.421484,0
31.570992,30,26.201954,26.201954,0
31.176105,30,26.201954,26.201954,0
30.889582,30,26.201954,26.201954,0
31.176628,30,26.201954,26.201954,0
31.192532,30,26.201954,26.201954,0
31.24511,30,26.201954,26.201954,0
30.957344,30,26.202343,26.202343,0
30.282415,30,26.202343,26.202343,0
29.756954,30,26.202343,26.202343,0
28.526115,30,26.369923,26.369923,0
28.368965,30,26.816015,26.816015,0
28.777851,30,26.98711,26.98711,0
28.777851,30,26.98711,26.98711,0
29.09548,30,27.020313,27.020313,0
29.758057,30,27.020313,27.020313,0
30.387024,30,27.020313,27.020313,0
31.230251,30,26.989452,26.989452,0
32.266064,30,26.562891,26.562891,0
31.939295,30,26.196484,26.196484,0
31.426487,30,26.199219,26.199219,0
31.016113,30,26.199219,26.199219,0
30.917873,30,26.199219,26.199219,0
31.033171,30,26.199219,26.199219,0
31.241322,30,26.198828,26.198828,0
31.203245,30,26.057423,26.057423,0
30.426949,30,26.058594,26.058594,0
29.562626,30,26.060547,26.060547,0
28.464058,30,26.309765,26.309765,0
28.29899,30,26.746876,26.746876,0
28.29899,30,26.746876,26.746876,0
28.703897,30,26.94375,26.94375,0
28.925035,30,26.933203,26.933203,0
29.445967,30,26.933203,26.933203,0
29.833084,30,26.933203,26.933203,0
30.580976,30,26.92539,26.92539,0
31.62282,30,26.667578,26.667578,0
31.88732,30,26.225391,26.225391,0
31.430677,30,26.164845,26.164845,0
30.921526,30,26.164845,26.164845,0
30.663452,30,26.164845,26.164845,0
30.795319,30,26.164845,26.164845,0
30.973721,30,26.164845,26.164845,0
31.267893,30,26.10078,26.10078,0
30.668001,30,26.057032,26.057032,0
29.669044,30,26.074219,26.074219,0
28.94713,30,26.310547,26.310547,0
28.94713,30,26.310547,26.310547,0
28.587414,30,26.681641,26.681641,0
28.963501,30,26.826563,26.826563,0
28.888483,30,26.826563,26.826563,0
28.848139,30,26.826563,26.826563,0
29.111101,30,26.826563,26.826563,0
29.755106,30,26.824219,26.824219,0
30.723715,30,26.823828,26.823828,0
31.577198,30,26.678905,26.678905,0
32.031796,30,26.248047,26.248047,0
31.263557,30,26.174999,26.174999,0
30.83708,30,26.174999,26.174999,0
30.830086,30,26.174999,26.174999,0
30.947031,30,26.174999,26.174999,0
31.318098,30,26.165234,26.165234,0
30.975061,30,26.16328,26.16328,0
30.975061,30,26.16328,26.16328,0
30.345894,30,26.16328,26.16328,0
29.490953,30,26.165234,26.165234,0
